Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,83.97000122070312,84.0999984741211,83.06999969482422,83.19000244140625,65.71919250488281,1390800
2014-01-03,83.20999908447266,84.12000274658203,83.1500015258789,83.73999786376953,66.15370178222656,1393300
2014-01-06,83.88999938964844,84.02999877929688,82.54000091552734,82.70999908447266,65.34004974365234,2225700
2014-01-07,82.77999877929688,83.05000305175781,82.47000122070312,82.5999984741211,65.25312805175781,2856500
2014-01-08,82.70999908447266,82.7699966430664,81.94999694824219,82.05999755859375,64.82652282714844,2308500
2014-01-09,82.33999633789062,82.87000274658203,81.93000030517578,82.08000183105469,64.84231567382812,1783300
2014-01-10,82.33999633789062,82.54000091552734,81.88999938964844,82.47000122070312,65.15042114257812,1795700
2014-01-13,81.98999786376953,82.48999786376953,80.97000122070312,81.11000061035156,64.07603454589844,2199800
2014-01-14,81.4000015258789,82.2300033569336,81.12000274658203,82.2300033569336,64.96082305908203,1761900
2014-01-15,82.33999633789062,82.7699966430664,82.29000091552734,82.51000213623047,65.1820068359375,2223300
2014-01-16,82.4800033569336,83.08000183105469,82.33999633789062,82.83999633789062,65.44273376464844,1154800
2014-01-17,82.75,83.02999877929688,82.58000183105469,82.66000366210938,65.30052947998047,1931600
2014-01-21,83.08000183105469,83.33000183105469,82.52999877929688,83.02999877929688,65.59285736083984,1499700
2014-01-22,83.04000091552734,83.08000183105469,82.66999816894531,82.87000274658203,65.46641540527344,1173900
2014-01-23,82.23999786376953,82.23999786376953,81.12999725341797,81.54000091552734,64.41573333740234,1448300
2014-01-24,80.66000366210938,81.02999877929688,79.20999908447266,79.20999908447266,62.575035095214844,2112900
2014-01-27,79.41000366210938,79.83000183105469,78.11000061035156,78.29000091552734,61.84828567504883,3004300
2014-01-28,79.68000030517578,80.18000030517578,78.0199966430664,79.01000213623047,62.41706848144531,5558600
2014-01-29,79.87999725341797,80.13999938964844,77.98999786376953,78.31999969482422,61.87196731567383,3482300
2014-01-30,79.0199966430664,79.41999816894531,78.76000213623047,79.29000091552734,62.63825988769531,2143300
2014-01-31,78.30999755859375,79.62000274658203,77.94999694824219,78.87000274658203,62.306461334228516,2660000
2014-02-03,78.88999938964844,79.3499984741211,76.75,76.77999877929688,60.65538787841797,2426500
2014-02-04,76.94000244140625,77.61000061035156,76.25,77.43000030517578,61.168888092041016,2112500
2014-02-05,77.0999984741211,78.61000061035156,76.83999633789062,77.58999633789062,61.29527282714844,3507500
2014-02-06,77.83000183105469,78.62000274658203,77.80000305175781,78.12000274658203,61.71397399902344,2701800
2014-02-07,78.76000213623047,79.79000091552734,78.4800033569336,79.68000030517578,62.946372985839844,2448800
2014-02-10,79.43000030517578,79.61000061035156,78.61000061035156,78.80000305175781,62.25115966796875,2485000
